Category,Context,Tags,Date Added,Is Secret,Export Signature
Relationships,This user values authenticity but acknowledges that it can sometimes lead to stepping on toes.,"authenticity, communication, interpersonal skills","6/21/2025, 1:07:52 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user tends to apologize for their part in conflicts to repair or maintain relationships.,"conflict resolution, apologies, relationship maintenance","6/21/2025, 1:07:34 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user has learned the importance of balancing honesty with sensitivity and making space for others in interactions.,"emotional intelligence, personal growth, balance","6/21/2025, 1:07:28 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user finds comfort in movies and video games as distractions when feeling anxious.,"anxiety coping, entertainment, personal habits","6/21/2025, 12:48:55 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user gravitates towards fantasy themes in movies and video games during anxious times.,"fantasy genre, coping mechanisms, personal preferences","6/21/2025, 12:47:16 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user experiences negative self-talk and is seeking ways to manage it.,"self-talk, self-compassion, coping mechanisms","6/19/2025, 9:36:53 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user has not yet found strategies that effectively make them feel more comfortable socially or personally.,"coping skills, personal growth, social comfort","6/19/2025, 9:36:28 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user approaches challenging emotional situations by helping others find hope and lessons, ensuring they feel supported.","emotional intelligence, support, coping strategies","6/19/2025, 4:08:54 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user relies on prayer as a way to cope with and manage their emotions and well-being while assisting others.,"spirituality, emotional management, self-care","6/19/2025, 4:08:45 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user relies on prayer to find guidance and reassurance in their decisions by seeking a sense of correctness.,"guidance, spirituality, decision making","6/19/2025, 4:06:06 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user uses AI to help plan and explore new ideas, particularly focusing on career and relationships.","AI interaction, planning, career growth, relationships","6/19/2025, 4:06:00 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user feels happy and confident when prayer and AI advice align, but ultimately trusts their gut instinct when they diverge.","intuition, decision making, self trust, emotional response","6/19/2025, 4:05:53 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,"This user sometimes feels embarrassed and worried after being vulnerable, fearing it may be used against them.","vulnerability, fear, emotions","6/19/2025, 4:04:26 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user copes with the risk of oversharing by accepting it and trying to be more mindful in the future.,"coping, strategies, self-awareness","6/19/2025, 4:04:13 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,"This user has experienced positive outcomes from vulnerability, including forming stronger bonds and receiving mutual sharing and support.","positive experiences, bonding, support","6/19/2025, 4:04:05 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user finds that calling someone during distressful times helps them to articulate the facts rather than just focusing on emotions or personal theories.,"communication, emotional processing, support network","6/19/2025, 4:00:22 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user prefers environments that are beautiful, quiet, and secure as part of their self-care practice.","self-care, environment, personal preference","6/19/2025, 4:00:14 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user experiences both positive feelings of being seen and negative feelings of guilt when prioritizing their own needs over others'.,"emotions, self-prioritization, guilt","6/19/2025, 4:00:07 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user manages guilt from self-prioritization by trying to compensate for others and is working on better balancing personal needs with the needs of others.,"guilt management, self-improvement, empathy","6/19/2025, 3:59:50 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user finds that calling someone during distressful times helps them to articulate the facts rather than just focusing on emotions or personal theories.,"communication, emotional processing, support network","6/19/2025, 12:05:43 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user has a tendency to pace, ruminate, and engage in self-dialogue when upset, looking for ways to process their emotions.","coping mechanisms, emotional processing, stress management","6/19/2025, 12:05:36 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
